experience_id,employee_id,previous_company,previous_role,years_of_experience,industry_background
132,1132,Jaya Abadi,Sales Coordinator,3.8,Logistics
133,1133,University (Graduate),Research Assistant,0.0,Education
134,1134,Jaya Abadi,Brand Associate,17.5,Healthcare
135,1135,Sinergi Solusi,Software Engineer,4.8,Retail
136,1136,Garuda Retail,Junior Data Scientist,1.2,Consulting
137,1137,Bumi Manufaktur,Associate PM,13.3,Retail
138,1138,University (Graduate),Research Assistant,0.2,Manufacturing
139,1139,Bank Nusantara,Backend Developer,19.0,Government
140,1140,Jaya Abadi,Customer Service Officer,2.6,Healthcare
141,1141,Harapan Bersama,Frontend Developer,1.6,Consulting
142,1142,Fokus Sejahtera,Frontend Developer,0.6,Government
143,1143,Karya Inovasi,Account Coordinator,1.1,Logistics
144,1144,Karya Inovasi,Sales Executive,5.2,Logistics
145,1145,TechMandiri,Backend Developer,2.8,Technology
146,1146,Anugerah Konsultindo,Sales Coordinator,6.7,Healthcare
147,1147,Garuda Retail,Account Executive,9.1,Government
148,1148,Inti Mandiri,Backend Developer,3.2,Retail
149,1149,University (Graduate),Junior Data Scientist,4.2,Technology
150,1150,Damai Sentosa,Sales Executive,3.8,Healthcare
151,1151,Bank Nusantara,CS Specialist,15.1,Healthcare
152,1152,University (Graduate),Research Assistant,0.0,Consulting
153,1153,Harapan Bersama,Marketing Coordinator,16.0,Government
154,1154,Citra Digital,Software Engineer,5.8,Logistics
155,1155,University (Graduate),Research Assistant,0.0,Healthcare
156,1156,Inti Mandiri,Data Analyst,1.0,Media
157,1157,Citra Digital,Operations Staff,7.9,Manufacturing
158,1158,Citra Digital,Associate PM,10.9,Education
159,1159,TechMandiri,Finance Staff,3.8,Retail
160,1160,Gemilang Teknologi,Software Engineer,16.0,Media
161,1161,University (Graduate),Account Executive,0.7,Logistics
162,1162,Kreasi Prima,Compliance Officer,5.4,Education
163,1163,Bank Nusantara,Research Assistant,2.8,Banking
164,1164,Inti Mandiri,Account Executive,4.6,Government
165,1165,Karya Inovasi,Treasury Analyst,4.3,Retail
166,1166,Anugerah Konsultindo,Treasury Analyst,5.0,Manufacturing
167,1167,Jaya Abadi,Operations Staff,8.9,Technology
168,1168,Bumi Manufaktur,Junior Data Scientist,2.6,Government
169,1169,Jaya Abadi,Account Executive,6.2,Media
170,1170,Inti Mandiri,Account Coordinator,3.8,Logistics
171,1171,Anugerah Konsultindo,Account Executive,1.5,Media
172,1172,Anugerah Konsultindo,Frontend Developer,2.8,Logistics
173,1173,Garuda Retail,Sales Executive,2.0,Technology
174,1174,Indo Logistik,Associate PM,8.3,Logistics
175,1175,Inti Mandiri,Logistics Coordinator,17.0,Media
176,1176,Gemilang Teknologi,Software Engineer,4.0,Government
177,1177,Berkah Niaga,CS Specialist,11.2,Retail
178,1178,Andalan Media,Frontend Developer,7.1,Banking
179,1179,Inti Mandiri,Research Assistant,3.5,Manufacturing
180,1180,Damai Sentosa,Business Analyst,6.6,Consulting
181,1181,University (Graduate),Research Assistant,0.0,Logistics
182,1182,Jaya Abadi,Treasury Analyst,2.4,Technology
183,1183,Andalan Media,CS Specialist,1.6,Government
184,1184,Anugerah Konsultindo,Customer Service Officer,9.4,Banking
185,1185,Bank Nusantara,Account Coordinator,3.3,Technology
186,1186,Kreasi Prima,Sales Coordinator,2.5,Banking
187,1187,Jaya Abadi,Account Coordinator,10.1,Retail
188,1188,Karya Inovasi,Brand Associate,13.4,Media
189,1189,Bank Nusantara,Software Engineer,2.5,Technology
190,1190,University (Graduate),Research Assistant,0.0,Healthcare
191,1191,Fokus Sejahtera,Sales Coordinator,3.6,Banking
192,1192,University (Graduate),Research Assistant,0.0,Banking
193,1193,Karya Inovasi,Frontend Developer,6.3,Government
194,1194,Gemilang Teknologi,HR Assistant,10.3,Manufacturing
195,1195,Damai Sentosa,Operations Staff,4.9,Healthcare
196,1196,Berkah Niaga,Backend Developer,3.2,Manufacturing
197,1197,Damai Sentosa,Brand Associate,11.8,Banking
198,1198,Damai Sentosa,Marketing Coordinator,21.2,Consulting
199,1199,Garuda Retail,Operations Staff,6.6,Consulting
200,1200,Sinergi Solusi,Junior Accountant,3.0,Consulting
201,1201,Citra Digital,DevOps Engineer,1.1,Technology
202,1202,Berkah Niaga,Software Engineer,9.0,Healthcare
203,1203,TechMandiri,DevOps Engineer,12.0,Logistics
204,1204,Inti Mandiri,Finance Staff,2.5,Consulting
205,1205,Harapan Bersama,HR Staff,7.2,Media
206,1206,Bumi Manufaktur,Research Assistant,4.6,Education
207,1207,Citra Digital,Junior Accountant,4.9,Logistics
208,1208,Sinergi Solusi,Paralegal,6.8,Technology
209,1209,University (Graduate),Junior Accountant,3.9,Media
210,1210,Kreasi Prima,DevOps Engineer,1.9,Education
211,1211,Indo Logistik,DevOps Engineer,5.6,Manufacturing
212,1212,Bank Nusantara,CS Specialist,0.8,Healthcare
213,1213,Bank Nusantara,BI Developer,6.1,Manufacturing
214,1214,Kreasi Prima,Sales Executive,4.2,Media
215,1215,Kreasi Prima,DevOps Engineer,3.8,Government
216,1216,Fokus Sejahtera,Frontend Developer,2.4,Technology
217,1217,Berkah Niaga,DevOps Engineer,4.0,Media
218,1218,Bumi Manufaktur,BI Developer,4.2,Logistics
219,1219,Citra Digital,Account Executive,3.9,Manufacturing
220,1220,Indo Logistik,UX Researcher,9.0,Consulting
221,1221,University (Graduate),Compliance Officer,7.9,Technology
222,1222,University (Graduate),Sales Executive,4.7,Technology
223,1223,Jaya Abadi,Software Engineer,7.3,Retail
224,1224,Jaya Abadi,Account Executive,1.4,Consulting
225,1225,Anugerah Konsultindo,UX Researcher,12.2,Manufacturing
226,1226,Anugerah Konsultindo,Marketing Coordinator,8.7,Retail
227,1227,Sinergi Solusi,Sales Coordinator,3.6,Education
228,1228,University (Graduate),Software Engineer,13.8,Technology
229,1229,Bumi Manufaktur,Software Engineer,7.5,Banking
230,1230,Gemilang Teknologi,Brand Associate,1.5,Education
231,1231,Anugerah Konsultindo,Sales Coordinator,6.9,Retail
232,1232,Andalan Media,HR Staff,3.1,Education
233,1233,Anugerah Konsultindo,Software Engineer,7.7,Technology
234,1234,Eka Pratama,Account Coordinator,0.9,Logistics
235,1235,Indo Logistik,Recruiter,0.7,Government
236,1236,Eka Pratama,HR Assistant,6.7,Government
237,1237,Bumi Manufaktur,Sales Coordinator,2.6,Logistics
238,1238,Fokus Sejahtera,DevOps Engineer,5.1,Media
239,1239,Gemilang Teknologi,Account Executive,1.1,Media
240,1240,Andalan Media,Software Engineer,4.6,Logistics
241,1241,Gemilang Teknologi,Brand Associate,3.7,Retail
242,1242,University (Graduate),Research Assistant,0.0,Retail
243,1243,TechMandiri,Data Analyst,5.1,Media
244,1244,Karya Inovasi,CS Specialist,4.8,Education
245,1245,University (Graduate),Research Assistant,0.0,Consulting
246,1246,Fokus Sejahtera,DevOps Engineer,14.2,Consulting
247,1247,Citra Digital,DevOps Engineer,18.2,Consulting
248,1248,Bank Nusantara,Sales Executive,3.4,Manufacturing
249,1249,Kreasi Prima,Marketing Coordinator,14.5,Manufacturing
250,1250,Gemilang Teknologi,Junior Accountant,6.3,Manufacturing
251,1251,Bumi Manufaktur,Account Executive,0.9,Consulting
252,1252,Indo Logistik,Brand Associate,2.7,Banking
253,1253,Citra Digital,DevOps Engineer,11.1,Banking
254,1254,Harapan Bersama,Backend Developer,4.4,Consulting
255,1255,University (Graduate),Research Assistant,0.0,Retail
256,1256,Garuda Retail,Brand Associate,12.2,Education
257,1257,TechMandiri,Account Coordinator,8.0,Education
258,1258,Fokus Sejahtera,Content Specialist,3.4,Technology
259,1259,University (Graduate),Research Assistant,0.0,Healthcare
260,1260,Garuda Retail,HR Assistant,8.8,Banking
261,1261,Kreasi Prima,DevOps Engineer,11.7,Banking
262,1262,Gemilang Teknologi,Sales Coordinator,3.9,Technology
263,1263,Karya Inovasi,Sales Coordinator,5.6,Banking
264,1264,Indo Logistik,Research Assistant,9.6,Logistics
265,1265,Bank Nusantara,Content Specialist,14.7,Retail
266,1266,TechMandiri,Recruiter,5.1,Consulting
267,1267,Eka Pratama,Finance Staff,3.4,Consulting
268,1268,Bumi Manufaktur,Data Analyst,2.3,Media
269,1269,University (Graduate),Research Assistant,0.0,Retail
270,1270,Indo Logistik,Treasury Analyst,7.5,Healthcare
271,1271,Jaya Abadi,Logistics Coordinator,16.3,Government
272,1272,Bank Nusantara,Finance Staff,12.3,Banking
273,1273,Gemilang Teknologi,Marketing Coordinator,1.7,Media
274,1274,Kreasi Prima,Account Coordinator,7.5,Media
275,1275,Anugerah Konsultindo,Treasury Analyst,6.1,Logistics
276,1276,Eka Pratama,HR Assistant,5.3,Logistics
277,1277,Damai Sentosa,Finance Staff,3.6,Media
278,1278,Anugerah Konsultindo,Content Specialist,9.2,Banking
279,1279,Inti Mandiri,Associate PM,5.4,Media
280,1280,Citra Digital,Sales Coordinator,2.5,Logistics
281,1281,Fokus Sejahtera,Sales Executive,8.4,Retail
282,1282,University (Graduate),Research Assistant,0.0,Retail
283,1283,University (Graduate),Marketing Coordinator,22.8,Manufacturing
284,1284,Kreasi Prima,Junior Accountant,2.2,Technology
285,1285,Damai Sentosa,Marketing Coordinator,16.0,Logistics
286,1286,Eka Pratama,Research Assistant,6.5,Consulting
287,1287,Jaya Abadi,Account Coordinator,14.7,Retail
288,1288,Karya Inovasi,Associate PM,4.8,Media
289,1289,Eka Pratama,Software Engineer,12.0,Logistics
290,1290,Karya Inovasi,Software Engineer,2.5,Manufacturing
291,1291,Citra Digital,Software Engineer,11.2,Retail
292,1292,Anugerah Konsultindo,Associate PM,1.2,Media
293,1293,Gemilang Teknologi,Sales Executive,6.8,Logistics
294,1294,Karya Inovasi,CS Specialist,9.0,Government
295,1295,Harapan Bersama,Junior Accountant,2.3,Logistics
296,1296,Citra Digital,BI Developer,0.9,Logistics
297,1297,University (Graduate),Research Assistant,0.0,Retail
298,1298,Kreasi Prima,Paralegal,3.1,Consulting
299,1299,Jaya Abadi,Software Engineer,15.3,Government
300,1300,Jaya Abadi,BI Developer,1.8,Media
301,1301,Karya Inovasi,Finance Staff,8.2,Banking
302,1302,Bank Nusantara,Treasury Analyst,6.7,Retail
303,1303,Damai Sentosa,Associate PM,13.0,Technology
304,1304,Bank Nusantara,Sales Coordinator,6.2,Retail
305,1305,University (Graduate),DevOps Engineer,6.9,Logistics
306,1306,University (Graduate),Research Assistant,0.0,Consulting
307,1307,Inti Mandiri,Paralegal,14.1,Logistics
308,1308,Fokus Sejahtera,Operations Staff,15.8,Retail
309,1309,Bumi Manufaktur,Sales Executive,3.7,Media
310,1310,Fokus Sejahtera,Account Executive,2.3,Consulting
311,1311,Karya Inovasi,Customer Service Officer,2.4,Consulting
312,1312,University (Graduate),Junior Accountant,1.2,Government
313,1313,University (Graduate),Research Assistant,0.0,Education
314,1314,Fokus Sejahtera,Finance Staff,1.4,Media
315,1315,University (Graduate),Research Assistant,0.2,Logistics
316,1316,University (Graduate),Research Assistant,0.0,Logistics
317,1317,University (Graduate),Research Assistant,0.0,Healthcare
318,1318,Berkah Niaga,Research Assistant,4.8,Education
319,1319,Anugerah Konsultindo,Backend Developer,4.7,Banking
320,1320,Damai Sentosa,Research Assistant,2.1,Media
321,1321,Garuda Retail,Treasury Analyst,2.5,Retail
322,1322,Gemilang Teknologi,Backend Developer,4.5,Government
323,1323,University (Graduate),Research Assistant,0.3,Consulting
324,1324,Citra Digital,Research Assistant,4.1,Technology
325,1325,Garuda Retail,Customer Service Officer,10.4,Education
326,1326,TechMandiri,Account Executive,3.4,Healthcare
327,1327,Eka Pratama,Account Coordinator,2.2,Manufacturing
328,1328,Citra Digital,Software Engineer,2.7,Consulting
329,1329,Andalan Media,Sales Coordinator,2.2,Retail
330,1330,Sinergi Solusi,Recruiter,5.1,Manufacturing
331,1331,Bumi Manufaktur,BI Developer,5.7,Retail
332,1332,Eka Pratama,Sales Executive,13.7,Retail
333,1333,University (Graduate),Research Assistant,0.0,Media
334,1334,Indo Logistik,Business Analyst,5.1,Technology
335,1335,Harapan Bersama,HR Staff,6.5,Logistics
336,1336,Kreasi Prima,Account Coordinator,6.7,Education
337,1337,Harapan Bersama,DevOps Engineer,7.5,Technology
338,1338,Andalan Media,Software Engineer,11.3,Logistics
339,1339,Bank Nusantara,Data Analyst,5.3,Manufacturing
340,1340,Garuda Retail,Brand Associate,3.3,Technology
341,1341,Bumi Manufaktur,Data Analyst,1.8,Manufacturing
342,1342,Gemilang Teknologi,UX Researcher,4.1,Manufacturing
343,1343,University (Graduate),Research Assistant,0.0,Technology
344,1344,Gemilang Teknologi,Logistics Coordinator,8.9,Banking
345,1345,Citra Digital,Finance Staff,10.1,Logistics
346,1346,Eka Pratama,Compliance Officer,4.4,Education
347,1347,Sinergi Solusi,HR Assistant,11.6,Retail
348,1348,Inti Mandiri,Sales Executive,3.1,Government
349,1349,Indo Logistik,Logistics Coordinator,0.8,Technology
350,1350,University (Graduate),Research Assistant,0.0,Media
351,1351,Berkah Niaga,Sales Executive,8.2,Government
352,1352,Eka Pratama,Associate PM,12.4,Technology
353,1353,University (Graduate),Research Assistant,0.0,Retail
354,1354,Berkah Niaga,DevOps Engineer,1.3,Logistics
355,1355,Kreasi Prima,Operations Staff,12.5,Media
356,1356,University (Graduate),Research Assistant,0.0,Consulting
357,1357,Anugerah Konsultindo,Junior Accountant,10.7,Healthcare
358,1358,Bank Nusantara,Logistics Coordinator,18.7,Healthcare
359,1359,Garuda Retail,Sales Coordinator,7.6,Government
360,1360,Damai Sentosa,Account Executive,14.4,Healthcare
361,1361,University (Graduate),Research Assistant,0.3,Media
362,1362,University (Graduate),Research Assistant,0.0,Banking
363,1363,Sinergi Solusi,DevOps Engineer,15.8,Healthcare
364,1364,Citra Digital,DevOps Engineer,2.4,Education
365,1365,Indo Logistik,Marketing Coordinator,11.3,Healthcare
366,1366,Gemilang Teknologi,Customer Service Officer,3.1,Education
367,1367,Gemilang Teknologi,Sales Executive,7.3,Healthcare
368,1368,Bumi Manufaktur,Sales Coordinator,5.6,Banking
369,1369,Kreasi Prima,Data Analyst,4.2,Education
370,1370,Garuda Retail,Treasury Analyst,11.3,Media
371,1371,Harapan Bersama,BI Developer,7.3,Manufacturing
372,1372,Berkah Niaga,DevOps Engineer,9.5,Banking
373,1373,Fokus Sejahtera,Sales Executive,9.3,Government
374,1374,Bank Nusantara,Software Engineer,10.0,Retail
375,1375,Bank Nusantara,Operations Staff,15.1,Manufacturing
376,1376,Jaya Abadi,Account Executive,2.3,Consulting
377,1377,Andalan Media,Sales Coordinator,9.3,Retail
378,1378,Bumi Manufaktur,Customer Service Officer,6.0,Retail
379,1379,Eka Pratama,Account Executive,8.1,Retail
380,1380,Garuda Retail,Account Executive,1.2,Healthcare
381,1381,Damai Sentosa,DevOps Engineer,6.9,Technology
382,1382,Kreasi Prima,Operations Staff,2.8,Retail
383,1383,Berkah Niaga,Account Executive,2.6,Banking
384,1384,Bank Nusantara,Data Analyst,2.7,Retail
385,1385,Citra Digital,Data Analyst,4.0,Retail
386,1386,Bank Nusantara,Frontend Developer,3.8,Manufacturing
387,1387,Karya Inovasi,Backend Developer,4.8,Logistics
388,1388,Fokus Sejahtera,Data Analyst,2.4,Education
389,1389,Garuda Retail,CS Specialist,3.1,Manufacturing
390,1390,Harapan Bersama,Logistics Coordinator,12.7,Media
391,1391,Eka Pratama,UX Researcher,4.7,Healthcare
392,1392,Kreasi Prima,Sales Executive,1.6,Education
393,1393,Berkah Niaga,Customer Service Officer,3.6,Media
394,1394,University (Graduate),Research Assistant,0.3,Healthcare
395,1395,Bumi Manufaktur,DevOps Engineer,11.4,Education
396,1396,Andalan Media,Account Executive,2.9,Retail
397,1397,Inti Mandiri,Sales Executive,11.9,Banking
398,1398,Andalan Media,Sales Executive,2.2,Education
399,1399,Inti Mandiri,Junior Accountant,5.1,Consulting
400,1400,Harapan Bersama,Software Engineer,3.9,Retail
401,1401,Citra Digital,Frontend Developer,7.4,Healthcare
402,1402,University (Graduate),Research Assistant,0.0,Manufacturing
403,1403,Indo Logistik,Research Assistant,6.0,Manufacturing
404,1404,Gemilang Teknologi,Associate PM,7.1,Technology
405,1405,University (Graduate),Junior Data Scientist,3.7,Education
406,1406,Andalan Media,Backend Developer,18.0,Government
407,1407,Inti Mandiri,Sales Executive,8.8,Banking
408,1408,Kreasi Prima,Compliance Officer,10.0,Retail
409,1409,Sinergi Solusi,Brand Associate,2.9,Manufacturing
410,1410,Eka Pratama,Marketing Coordinator,15.3,Consulting
411,1411,Berkah Niaga,Finance Staff,1.1,Technology
412,1412,TechMandiri,Sales Executive,4.5,Logistics
413,1413,University (Graduate),Research Assistant,0.0,Government
414,1414,Anugerah Konsultindo,Marketing Coordinator,8.1,Technology
415,1415,Kreasi Prima,Sales Coordinator,1.8,Media
416,1416,Gemilang Teknologi,Account Executive,5.9,Manufacturing
417,1417,Bank Nusantara,Frontend Developer,2.9,Manufacturing
418,1418,Berkah Niaga,Logistics Coordinator,20.8,Retail
419,1419,Andalan Media,Junior Data Scientist,2.3,Logistics
420,1420,University (Graduate),Research Assistant,0.0,Government
421,1421,Bumi Manufaktur,Content Specialist,16.7,Logistics
422,1422,Citra Digital,Paralegal,8.1,Government
423,1423,Kreasi Prima,Account Coordinator,2.0,Healthcare
424,1424,TechMandiri,Treasury Analyst,2.9,Manufacturing
425,1425,University (Graduate),Research Assistant,0.0,Manufacturing
426,1426,University (Graduate),Research Assistant,0.0,Retail
427,1427,University (Graduate),Research Assistant,0.0,Retail
428,1428,Berkah Niaga,UX Researcher,7.3,Banking
429,1429,Anugerah Konsultindo,Recruiter,1.7,Consulting
430,1430,Fokus Sejahtera,Software Engineer,4.6,Consulting
431,1431,Indo Logistik,Junior Accountant,5.5,Media
432,1432,Gemilang Teknologi,DevOps Engineer,12.0,Government
433,1433,University (Graduate),Research Assistant,0.0,Healthcare
434,1434,Fokus Sejahtera,Treasury Analyst,8.8,Technology
435,1435,Bumi Manufaktur,Sales Executive,7.6,Technology
436,1436,Kreasi Prima,Software Engineer,7.0,Technology
437,1437,University (Graduate),DevOps Engineer,11.7,Logistics
438,1438,Bumi Manufaktur,Account Coordinator,5.9,Manufacturing
439,1439,Berkah Niaga,DevOps Engineer,7.3,Technology
440,1440,Karya Inovasi,Sales Executive,6.0,Education
441,1441,Bank Nusantara,Recruiter,10.7,Banking
442,1442,Garuda Retail,Customer Service Officer,18.0,Manufacturing
443,1443,Garuda Retail,Junior Data Scientist,5.6,Healthcare
444,1444,Sinergi Solusi,Frontend Developer,11.5,Government
445,1445,Sinergi Solusi,DevOps Engineer,21.8,Education
446,1446,Garuda Retail,Content Specialist,7.9,Consulting
447,1447,Inti Mandiri,Junior Accountant,5.7,Consulting
448,1448,Indo Logistik,Research Assistant,2.2,Consulting
449,1449,Jaya Abadi,Treasury Analyst,8.2,Consulting
450,1450,Bank Nusantara,Customer Service Officer,13.4,Manufacturing
451,1451,Eka Pratama,Junior Accountant,10.0,Banking
452,1452,Citra Digital,Operations Staff,19.1,Media
453,1453,Bumi Manufaktur,Backend Developer,4.2,Consulting
454,1454,TechMandiri,Logistics Coordinator,3.0,Education
455,1455,University (Graduate),Research Assistant,0.0,Government
456,1456,Anugerah Konsultindo,Business Analyst,3.6,Healthcare
457,1457,Inti Mandiri,Marketing Coordinator,17.9,Logistics
458,1458,Eka Pratama,Associate PM,7.4,Government
459,1459,Garuda Retail,Operations Staff,3.3,Retail
460,1460,Bank Nusantara,Associate PM,2.6,Logistics
461,1461,University (Graduate),Research Assistant,0.0,Manufacturing
462,1462,Eka Pratama,Research Assistant,8.5,Consulting
463,1463,Gemilang Teknologi,Recruiter,2.8,Retail
464,1464,Anugerah Konsultindo,Frontend Developer,6.0,Retail
465,1465,Jaya Abadi,Sales Coordinator,3.8,Retail
466,1466,Kreasi Prima,Operations Staff,14.3,Media
467,1467,Jaya Abadi,Junior Accountant,1.7,Technology
468,1468,Kreasi Prima,Compliance Officer,4.8,Manufacturing
469,1469,Bank Nusantara,Sales Executive,2.1,Consulting
